Year,Team,Medal,Count
1896,Australia,Gold,2
1896,United States,Silver,7
1896,United States,Bronze,2
1896,Switzerland,Silver,2
1896,Switzerland,Gold,1
1896,Hungary,Silver,1
1896,Hungary,Gold,2
1896,Hungary,Bronze,3
1896,Greece-1,Silver,2
1896,Greece,Silver,16
1896,Greece,Gold,10
1896,Greece,Bronze,18
1896,Great Britain/Germany,Gold,2
1896,Great Britain,Silver,3
1896,Great Britain,Gold,2
1896,United States,Gold,11
1896,Germany,Silver,5
1896,Australia/Great Britain,Bronze,2
1896,Austria,Bronze,2
1896,Austria,Gold,2
1896,Austria,Silver,1
1896,Great Britain,Bronze,2
1896,Denmark,Gold,1
1896,Denmark,Bronze,3
1896,Ethnikos Gymnastikos Syllogos,Bronze,2
1896,France,Bronze,2
1896,France,Gold,5
1896,France,Silver,4
1896,Germany,Bronze,2
1896,Germany,Gold,24
1896,Denmark,Silver,2
1900,Martha-1,Bronze,4
1900,Martha-1,Silver,4
1900,Mascotte,Silver,3
1900,Mignon-3,Bronze,1
1900,Minerva Amsterdam,Bronze,9
1900,Norway,Bronze,3
1900,Minerva Amsterdam,Silver,5
1900,Moseley Wanderers,Silver,15
1900,Netherlands,Bronze,6
1900,Nina Claire-2,Bronze,4
1900,Luxembourg,Gold,1
1900,Minerva Amsterdam,Gold,3
1900,Ludwigshafener Ruder Verein-1,Bronze,5
1900,India,Silver,2
1900,Lerina,Silver,3
1900,Lerina,Gold,3
1900,Laurea-1,Bronze,1
1900,Italy,Silver,2
1900,Italy,Gold,3
1900,Hungary,Silver,2
1900,Hungary,Gold,1
1900,Hungary,Bronze,2
1900,Gwendoline-2,Bronze,3
1900,Great Britain-2,Bronze,2
1900,Great Britain-1,Gold,2
1900,Norway,Silver,6
1900,Libellule de Paris,Bronze,7
1900,Olle,Gold,6
1900,Switzerland,Silver,1
1900,Pupilles de Neptune de Lille #2-1,Bronze,8
1900,Vesper Boat Club,Gold,9
1900,Upton Park FC,Gold,11
1900,Univ. of Brussels,Bronze,11
1900,United States/Great Britain,Bronze,2
1900,United States/France,Silver,2
1900,United States,Silver,14
1900,United States,Gold,18
1900,United States,Bronze,13
1900,Union des Socits Franais de Sports Athletiques,Silver,12
1900,Union des Socits Franais de Sports Athletiques,Gold,17
1900,USFSA,Silver,13
1900,Turquoise-1,Bronze,1
1900,Tritons Lillois-2,Silver,5
1900,Great Britain,Silver,6
1900,Switzerland,Gold,13
1900,Switzerland,Bronze,1
1900,Sweden,Bronze,1
1900,Spain,Gold,2
1900,Societ Nautique de la Marne-1,Silver,2
1900,Scotia,Gold,6
1900,Scamasaxe-3,Silver,2
1900,Scamasaxe-2,Bronze,2
1900,Sarcelle-3,Bronze,3
1900,Royal Club Nautique de Gand,Silver,9
1900,Rowing Club Castillon-3,Bronze,3
1900,Racing Club de France,Silver,11
1900,Quand-Mme-2,Silver,9
1900,"Osborne Swimming Club, Manchester",Gold,7
1900,Great Britain,Gold,9
1900,Pupilles de Neptune de Lille-1,Bronze,4
1900,Gitana-2,Silver,5
1900,Cercle de l'Aviron Roubaix-4,Gold,5
1900,Carabinier-15,Gold,1
1900,Canada,Gold,1
1900,Canada,Bronze,1
1900,Brynhild-2,Silver,1
1900,Brussels Swimming and Water Polo Club,Silver,10
1900,Bona Fide,Gold,3
1900,Bohemia/Great Britain,Bronze,2
1900,Bohemia,Silver,1
1900,Bohemia,Bronze,1
1900,Belgium-1,Gold,1
1900,Belgium,Gold,5
1900,Cicely-1,Gold,1
1900,Belgium,Bronze,4
1900,Baby-1,Gold,1
1900,Baby-1,Bronze,1
1900,"BLO Polo Club, Rugby",Silver,4
1900,Austria,Silver,3
1900,Austria,Bronze,3
1900,Australia,Gold,2
1900,Australia,Bronze,3
1900,Aschenbrodel,Silver,4
1900,Aschenbrodel,Gold,4
1900,Amateur Athletic Association,Gold,5
1900,A North American Team,Bronze,4
1900,Great Britain,Bronze,7
1900,"Bagatelle Polo Club, Paris",Bronze,4
1900,Club Nautique de Lyon-2,Silver,4
1900,Belgium,Silver,5
1900,Crabe II-4,Bronze,5
1900,Gitana-2,Bronze,5
1900,Crabe II-1,Silver,5
1900,Germany,Silver,1
1900,Germany,Gold,1
1900,"Germania Ruder Club, Hamburg-2",Gold,5
1900,Frimousse,Bronze,1
1900,Frankfurt Club,Silver,15
1900,France/Great Britain,Silver,2
1900,France-1,Silver,1
1900,France,Silver,27
1900,France,Gold,22
1900,France,Bronze,26
1900,Foxhunters Hurlingham,Gold,5
1900,Formosa,Bronze,1
1900,France-1,Bronze,3
1900,Cuba,Gold,1
1900,Femur-1,Gold,1
1900,Cuba,Silver,1
1900,Denmark,Bronze,2
1900,Denmark,Gold,1
1900,Denmark/Sweden,Gold,6
1900,Deutscher Schwimm Verband Berlin,Gold,4
1900,Denmark,Silver,3
1900,Esterel-1,Gold,2
1900,Fantlet-7,Gold,1
1900,Favorite Hammonia-3,Bronze,6
1900,Favorite-1,Silver,8
1900,Devon and Somerset Wanderers,Gold,12
1904,St. Louis Southwest Turnverein #2-3,Bronze,5
1904,Seawanhaka Boat Club-1,Gold,2
1904,St. Louis Southwest Turnverein #1-2,Silver,5
1904,New York Athletic Club,Gold,5
1904,St. Louis Amateur Athletic Association,Silver,12
1904,Ravenswood Boat Club-2,Silver,2
1904,New York Athletic Club #1-1,Gold,4
1904,"Philadelphia Turngemeinde, Philadelphia",Gold,6
1904,Norway,Gold,2
1904,"New York Turnverein, New York",Silver,6
1904,New York Athletic Club-1,Gold,7
1904,St. Rose-2,Bronze,12
1904,Potomac Archers,Gold,4
1904,Switzerland,Bronze,2
1904,Western Rowing Club-3,Bronze,6
1904,Toronto Argonauts,Silver,9
1904,Trans-Mississippi Golf Association-2,Silver,10
1904,United States,Bronze,66
1904,United States,Gold,65
1904,United States,Silver,68
1904,United States Golf Association-3,Bronze,10
1904,United States-1,Gold,2
1904,United States-2,Silver,2
1904,United States-3,Bronze,2
1904,United States-4,Bronze,2
1904,Vesper Boat Club,Gold,9
1904,Western Golf Association-1,Gold,10
1904,Mound City Rowing Club-2,Silver,4
1904,Winnipeg Shamrocks-1,Gold,12
1904,Switzerland,Gold,1
1904,Mohawk Indians-2,Bronze,12
1904,Galt Football Club,Gold,13
1904,Milwaukee Athletic Club-1,Gold,5
1904,Missouri Athletic Club-3,Bronze,11
1904,Atalanta Boat Club-1,Gold,2
1904,Atalanta Boat Club-2,Silver,2
1904,Australia,Bronze,1
1904,Australia,Silver,3
1904,Austria,Bronze,1
1904,Austria,Gold,1
1904,Austria,Silver,1
1904,Canada,Gold,2
1904,"Central Turnverein, Chicago",Bronze,6
1904,Century Boat Club-1,Gold,4
1904,Chicago Athletic Association,Silver,5
1904,Chicago Athletic Association-2,Silver,11
1904,Christian Brothers' College-1,Silver,11
1904,Boston Archers,Bronze,4
1904,Cincinnati Archers,Silver,4
1904,Independent Rowing Club-3,Bronze,2
1904,Cincinnati Archers,Gold,4
1904,Hungary,Silver,1
1904,Hungary,Gold,2
1904,Hungary,Bronze,1
1904,Greece,Bronze,1
1904,Great Britain,Silver,1
1904,Greece,Gold,1
1904,Germany,Silver,5
1904,Germany,Gold,4
1904,Germany,Bronze,6
1904,France,Silver,1
1904,Cuba,Gold,5
1904,Great Britain,Gold,1
1906,"Phalainis ton Thorichtou ""Hydra""-2",Bronze,7
1906,Netherlands,Silver,1
1906,Omas Helliniki P. S.,Silver,8
1906,Norway,Silver,5
1906,Norway,Gold,20
1906,Netherlands,Bronze,5
1906,Italy,Bronze,1
1906,"Marinai della nave da guerra ""Varese""",Bronze,17
1906,"Life boat naval ship ""Spetsai""-1",Silver,7
1906,"Large boat, Central Naval Prep School ""Poros""-1",Gold,17
1906,Italy,Silver,5
1906,Italy,Gold,3
1906,"Phalainis ton Thorichtou ""Hydra""-2",Silver,17
1906,"Marinai della nave da guerra ""Varese""",Gold,7
1906,Pistoja/Firenze,Bronze,9
1906,United States,Silver,6
1906,Smyrna,Silver,11
1906,Hungary,Silver,5
1906,United States,Gold,12
1906,United States,Bronze,6
1906,Thessalonki-1,Bronze,11
1906,Switzerland,Silver,3
1906,Switzerland,Gold,8
1906,Royal Club Nautique de Gand,Silver,3
1906,Switzerland,Bronze,1
1906,Sweden,Gold,2
1906,Sweden,Bronze,14
1906,Socit Nautique de la Basse Seine-1,Silver,5
1906,Socit Nautique de la Basse Seine-1,Bronze,3
1906,Socit Nautique de Bayonne-2,Bronze,5
1906,Socit Nautique de Bayonne-1,Bronze,3
1906,Sweden,Silver,5
1906,Hungary,Gold,5
1906,Great Britain,Silver,14
1906,Greece-2,Bronze,2
1906,Australia,Bronze,3
1906,Austria,Bronze,3
1906,Austria,Gold,3
1906,Austria,Silver,3
1906,Barion/Bari-2,Silver,3
1906,Belgium,Bronze,6
1906,Belgium,Gold,2
1906,Bohemia,Bronze,3
1906,Bucintoro Venezia,Gold,8
1906,Bucintoro Venezia-1,Gold,3
1906,Canada,Gold,1
1906,Canada,Silver,1
1906,Denmark,Bronze,1
1906,Denmark,Gold,14
1906,Denmark,Silver,19
1906,Belgium,Silver,1
1906,Finland,Gold,2
1906,Finland,Bronze,1
1906,Greece-1,Silver,4
1906,Greece,Silver,11
1906,Greece,Gold,7
1906,Greece,Bronze,10
1906,Great Britain,Gold,9
1906,Great Britain,Bronze,8
1906,Hungary,Bronze,3
1906,Germany,Silver,10
1906,Germany,Gold,14
1906,Germany,Bronze,6
1906,France,Silver,8
1906,France,Gold,20
1906,France,Bronze,17
1906,Finland,Silver,1
1908,Leander Club #1-1,Gold,2
1908,London City Police-1,Gold,8
1908,Liverpool Police Team-2,Silver,8
1908,Leander Club-2,Silver,4
1908,Leander Club-1,Gold,9
1908,Leander Club #2-2,Silver,2
1908,Magdalen College Boat Club-1,Gold,4
1908,K Division Metropolitan Police Team-3,Bronze,8
1908,Hungary,Bronze,6
1908,Italy,Gold,2
1908,Ireland-3,Silver,4
1908,Ireland-2,Silver,12
1908,Hurlingham-2,Silver,4
1908,Hungary,Silver,7
1908,Hungary,Gold,7
1908,Heroine,Gold,4
1908,Mouchette-2,Silver,10
1908,Italy,Silver,6
1908,Netherlands,Bronze,12
1908,United States,Gold,34
1908,Norway,Gold,7
1908,Wales-4,Bronze,11
1908,Vinga-1,Silver,5
1908,United States,Silver,16
1908,Hera-1,Gold,10
1908,United States,Bronze,15
1908,Toronto Argonauts,Bronze,9
1908,Sweden,Silver,13
1908,Sweden,Gold,48
1908,Norway,Bronze,3
1908,Sweden,Bronze,18
1908,South Africa,Gold,1
1908,Sorais-2,Bronze,5
1908,Scotland-3,Bronze,11
1908,Russia,Silver,2
1908,Russia,Gold,1
1908,Royal Club Nautique de Gand,Silver,9
