,Year,Country,Score,Country Code,PIB_mean,HDI,Dépenses
0,2016.0,Germany,115.0,DEU,45709.42297480513,0.948,2.0
1,2021.0,Germany,88.0,DEU,47351.2725656324,0.955,2.0
2,2024.0,Germany,94.0,DEU,50817.9855399024,0.959,2.0
3,2016.0,Austria,1.0,AUT,48446.49019356255,0.919,2.5
4,2021.0,Austria,12.0,AUT,49240.05554679985,0.925,2.5
5,2024.0,Austria,13.0,AUT,52643.84191761055,0.93,2.4
6,2016.0,Belgium,16.0,BEL,45182.08720745595,0.933,2.7
7,2021.0,Belgium,20.0,BEL,46036.36107560797,0.939,2.5
8,2024.0,Belgium,23.0,BEL,50769.2180007077,0.951,2.5
9,2016.0,Bulgaria,4.0,BGR,7641.54833189839,0.824,2.0
10,2021.0,Bulgaria,19.0,BGR,9927.956596555774,0.826,2.3
11,2024.0,Bulgaria,20.0,BGR,13406.424669957149,0.845,2.1
12,2016.0,Cyprus,,,,0.882,1.7
13,2021.0,Cyprus,,,,0.905,1.4
14,2024.0,Cyprus,2.0,,,0.913,1.2
15,2016.0,Croatia,33.0,,,0.852,3.3
16,2021.0,Croatia,23.0,,,0.867,3.6
17,2024.0,Croatia,17.0,,,0.889,4.0
18,2016.0,Denmark,29.0,DNK,58858.958276224126,0.943,3.6
19,2021.0,Denmark,27.0,DNK,59809.01822217568,0.954,3.3
20,2024.0,Denmark,19.0,DNK,66814.6679924585,0.962,3.1
21,2016.0,Spain,44.0,ESP,28343.87437605855,0.895,2.3
22,2021.0,Spain,37.0,ESP,29001.05776571585,0.901,2.4
23,2024.0,Spain,42.0,ESP,30453.175434974502,0.918,2.5
24,2016.0,Estonia,1.0,EST,18795.636738292225,0.888,4.1
25,2021.0,Estonia,6.0,EST,23106.225639645323,0.901,4.2
26,2024.0,Estonia,,EST,27618.05329952265,0.905,4.1
27,2016.0,Finland,1.0,FIN,47469.20259062705,0.938,3.1
28,2021.0,Finland,2.0,FIN,48231.53316027163,0.947,3.1
29,2024.0,Finland,,FIN,51297.4728713351,0.948,3.7
30,2016.0,France,100.0,FRA,40845.80981365053,0.901,2.9
31,2021.0,France,85.0,FRA,39920.87118668665,0.909,2.8
32,2024.0,France,154.0,FRA,42167.1767559454,0.92,3.0
33,2016.0,Greece,19.0,GRC,20663.2866412586,0.888,1.7000000000000002
34,2021.0,Greece,13.0,GRC,18931.871975584825,0.896,2.2
35,2024.0,Greece,13.0,GRC,20728.499042228723,0.908,2.2
36,2016.0,Hungary,50.0,HUN,13456.266151231424,0.847,6.6
37,2021.0,Hungary,51.0,HUN,16185.25365109005,0.857,6.2
38,2024.0,Hungary,50.0,HUN,19053.34368203365,0.87,5.4
39,2016.0,Ireland,4.0,IRL,55905.258420444196,0.931,1.2
40,2021.0,Ireland,12.0,IRL,80342.44248906938,0.948,0.9
41,2024.0,Ireland,23.0,IRL,99926.69875786411,0.949,1.0
42,2016.0,Iceland,,ISL,50832.23930063253,0.956,6.0
43,2021.0,Iceland,,ISL,68484.53516860207,0.965,6.6
44,2024.0,Iceland,,ISL,70820.77060607572,0.972,6.0
45,2016.0,Italy,70.0,ITA,34306.07548045305,0.889,1.6
46,2021.0,Italy,90.0,ITA,33413.124809998,0.899,1.8
47,2024.0,Italy,101.0,ITA,35915.839462636126,0.915,1.7
48,2016.0,Latvia,,LVA,14080.402854159476,0.859,3.0
49,2021.0,Latvia,6.0,LVA,16810.968547823275,0.879,3.1
50,2024.0,Latvia,,LVA,20182.23257663145,0.889,2.8
51,2016.0,Lithuania,5.0,LTU,15160.169828478423,0.869,2.0
52,2021.0,Lithuania,2.0,LTU,19021.206192925325,0.888,2.4
53,2024.0,Lithuania,6.0,LTU,24292.724286834553,0.895,2.4
54,2016.0,Luxembourg,,LUX,115431.38293212876,0.913,2.4
55,2021.0,Luxembourg,,LUX,114169.16265579176,0.916,2.4
56,2024.0,Luxembourg,,LUX,126738.29597375524,0.922,2.7
57,2016.0,Malta,,MLT,25312.031914136023,0.892,2.1
58,2021.0,Malta,,MLT,31988.756610960125,0.903,2.6
59,2024.0,Malta,,MLT,36576.41602752102,0.924,3.0
60,2016.0,Norway,4.0,NOR,94551.60510541392,0.959,3.6
61,2021.0,Norway,26.0,NOR,75923.8220413277,0.969,3.4
62,2024.0,Norway,25.0,NOR,89544.94003133988,0.97,3.1
63,2016.0,Netherlands,57.0,NLD,50581.81682056185,0.94,2.5
64,2021.0,Netherlands,88.0,NLD,52622.89680689655,0.945,2.4
65,2024.0,Netherlands,101.0,NLD,59326.31008622383,0.955,2.3000000000000003
66,2016.0,Poland,22.0,POL,13402.282386644074,0.879,2.2
67,2021.0,Poland,35.0,POL,15399.25081495085,0.88,2.4
68,2024.0,Poland,18.0,POL,18955.728955127597,0.906,2.8
69,2016.0,Portugal,1.0,PRT,20901.59492520693,0.857,1.7000000000000002
70,2021.0,Portugal,9.0,PRT,22656.572921909377,0.87,2.0
71,2024.0,Portugal,10.0,PRT,24754.416757201452,0.89,1.8
72,2016.0,Romania,9.0,ROU,9359.104083897368,0.823,1.8
73,2021.0,Romania,11.0,ROU,12326.144468339724,0.832,1.8
74,2024.0,Romania,25.0,ROU,15507.8104645779,0.845,2.0
75,2016.0,Slovakia,14.0,,,0.861,1.9
76,2021.0,Slovakia,10.0,,,0.867,2.1
77,2024.0,Slovakia,1.0,,,0.88,2.3
78,2016.0,Slovenia,10.0,SVN,22597.3625943307,0.909,2.9
79,2021.0,Slovenia,18.0,SVN,25099.339909660725,0.918,3.1
80,2024.0,Slovenia,12.0,SVN,28890.845910368775,0.931,3.1
81,2016.0,Switzerland,21.0,CHE,86417.99423300906,0.957,2.1
82,2021.0,Switzerland,29.0,CHE,84372.86539065867,0.963,2.2
83,2024.0,Switzerland,14.0,CHE,93647.21785973024,0.97,2.1
84,2016.0,Sweden,25.0,SWE,57343.94219463717,0.945,3.0
85,2021.0,Sweden,27.0,SWE,52977.39218889823,0.951,3.3000000000000003
86,2024.0,Sweden,31.0,SWE,56173.1876925725,0.959,2.9
87,2016.0,Czechia,,,,,2.6
88,2021.0,Czechia,,,,,2.7
89,2024.0,Czechia,,,,,2.6
90,2016.0,Union européenne - 27 pays (à partir de 2020),,,,,2.3
91,2021.0,Union européenne - 27 pays (à partir de 2020),,,,,2.4
92,2024.0,Union européenne - 27 pays (à partir de 2020),,,,,2.4
93,2016.0,Zone euro - 19 pays (2015-2022),,,,,2.2
94,2021.0,Zone euro - 19 pays (2015-2022),,,,,2.3
95,2024.0,Zone euro - 19 pays (2015-2022),,,,,2.2
96,2016.0,Zone euro - 20 pays (à partir de 2023),,,,,2.2
97,2021.0,Zone euro - 20 pays (à partir de 2023),,,,,2.3
98,2024.0,Zone euro - 20 pays (à partir de 2023),,,,,2.2
