,Year,Country,Score,Country Code,PIB_mean,HDI,Dépenses
0,2016,Austria,1.0,AUT,48446.49019356255,0.919,2.5
1,2016,Belgium,16.0,BEL,45182.08720745595,0.933,2.7
2,2016,Bulgaria,4.0,BGR,7641.54833189839,0.824,2.0
3,2016,Denmark,29.0,DNK,58858.958276224126,0.943,3.6
4,2016,Estonia,1.0,EST,18795.636738292225,0.888,4.1
5,2016,Finland,1.0,FIN,47469.20259062705,0.938,3.1
6,2016,France,100.0,FRA,40845.80981365053,0.901,2.9
7,2016,Germany,115.0,DEU,45709.42297480513,0.948,2.0
8,2016,Greece,19.0,GRC,20663.2866412586,0.888,1.7000000000000002
9,2016,Hungary,50.0,HUN,13456.266151231424,0.847,6.6
10,2016,Ireland,4.0,IRL,55905.258420444196,0.931,1.2
11,2016,Italy,70.0,ITA,34306.07548045305,0.889,1.6
12,2016,Lithuania,5.0,LTU,15160.169828478423,0.869,2.0
13,2016,Netherlands,57.0,NLD,50581.81682056185,0.94,2.5
14,2016,Norway,4.0,NOR,94551.60510541392,0.959,3.6
15,2016,Poland,22.0,POL,13402.282386644074,0.879,2.2
16,2016,Portugal,1.0,PRT,20901.59492520693,0.857,1.7000000000000002
17,2016,Romania,9.0,ROU,9359.104083897368,0.823,1.8
18,2016,Slovenia,10.0,SVN,22597.3625943307,0.909,2.9
19,2016,Spain,44.0,ESP,28343.87437605855,0.895,2.3
20,2016,Sweden,25.0,SWE,57343.94219463717,0.945,3.0
21,2016,Switzerland,21.0,CHE,86417.99423300906,0.957,2.1
22,2021,Austria,12.0,AUT,49240.05554679985,0.925,2.5
23,2021,Belgium,20.0,BEL,46036.36107560797,0.939,2.5
24,2021,Bulgaria,19.0,BGR,9927.956596555774,0.826,2.3
25,2021,Denmark,27.0,DNK,59809.01822217568,0.954,3.3
26,2021,Estonia,6.0,EST,23106.225639645323,0.901,4.2
27,2021,Finland,2.0,FIN,48231.53316027163,0.947,3.1
28,2021,France,85.0,FRA,39920.87118668665,0.909,2.8
29,2021,Germany,88.0,DEU,47351.2725656324,0.955,2.0
30,2021,Greece,13.0,GRC,18931.871975584825,0.896,2.2
31,2021,Hungary,51.0,HUN,16185.25365109005,0.857,6.2
32,2021,Ireland,12.0,IRL,80342.44248906938,0.948,0.8999999999999999
33,2021,Italy,90.0,ITA,33413.124809998,0.899,1.8
34,2021,Latvia,6.0,LVA,16810.968547823275,0.879,3.1
35,2021,Lithuania,2.0,LTU,19021.206192925325,0.888,2.4
36,2021,Netherlands,88.0,NLD,52622.89680689655,0.945,2.4
37,2021,Norway,26.0,NOR,75923.8220413277,0.969,3.4
38,2021,Poland,35.0,POL,15399.25081495085,0.88,2.4
39,2021,Portugal,9.0,PRT,22656.572921909377,0.87,2.0
40,2021,Romania,11.0,ROU,12326.144468339724,0.832,1.8
41,2021,Slovenia,18.0,SVN,25099.339909660725,0.918,3.1
42,2021,Spain,37.0,ESP,29001.05776571585,0.901,2.4
43,2021,Sweden,27.0,SWE,52977.39218889823,0.951,3.3000000000000003
44,2021,Switzerland,29.0,CHE,84372.86539065867,0.963,2.2
45,2024,Austria,13.0,AUT,52643.84191761055,0.93,2.6
46,2024,Austria,13.0,AUT,52643.84191761055,0.93,2.4
47,2024,Belgium,23.0,BEL,50769.2180007077,0.951,2.5
48,2024,Bulgaria,20.0,BGR,13406.424669957149,0.845,2.1
49,2024,Denmark,19.0,DNK,66814.6679924585,0.962,3.1
50,2024,Denmark,19.0,DNK,66814.6679924585,0.962,3.1
51,2024,France,154.0,FRA,42167.1767559454,0.92,3.0
52,2024,Germany,94.0,DEU,50817.9855399024,0.959,2.0
53,2024,Greece,13.0,GRC,20728.499042228723,0.908,2.2
54,2024,Hungary,50.0,HUN,19053.34368203365,0.87,5.4
55,2024,Ireland,23.0,IRL,99926.69875786411,0.949,1.0
56,2024,Italy,101.0,ITA,35915.839462636126,0.915,1.7
57,2024,Lithuania,6.0,LTU,24292.724286834553,0.895,2.4
58,2024,Netherlands,101.0,NLD,59326.31008622383,0.955,2.3
59,2024,Norway,25.0,NOR,89544.94003133988,0.97,3.1
60,2024,Norway,25.0,NOR,89544.94003133988,0.97,3.1
61,2024,Poland,18.0,POL,18955.728955127597,0.906,2.8
62,2024,Portugal,10.0,PRT,24754.416757201452,0.89,1.8
63,2024,Romania,25.0,ROU,15507.8104645779,0.845,2.0
64,2024,Slovenia,12.0,SVN,28890.845910368775,0.931,3.1
65,2024,Spain,42.0,ESP,30453.175434974502,0.918,2.5
66,2024,Sweden,31.0,SWE,56173.1876925725,0.959,2.9
67,2024,Switzerland,14.0,CHE,93647.21785973024,0.97,2.1
