Year,Team,Score
1896,Australia,10
1896,Australia/Great Britain,1
1896,Austria,14
1896,Denmark,12
1896,Ethnikos Gymnastikos Syllogos,1
1896,France,35
1896,Germany,42
1896,Great Britain,18
1896,Great Britain/Germany,5
1896,Greece,98
1896,Greece-1,2
1896,Hungary,15
1896,Switzerland,9
1896,United States,69
1900,A North American Team,1
1900,Amateur Athletic Association,5
1900,Aschenbrodel,7
1900,Australia,13
1900,Austria,9
1900,"BLO Polo Club, Rugby",2
1900,Baby-1,6
1900,"Bagatelle Polo Club, Paris",1
1900,Belgium,39
1900,Belgium-1,5
1900,Bohemia,3
1900,Bohemia/Great Britain,1
1900,Bona Fide,5
1900,Brussels Swimming and Water Polo Club,2
1900,Brynhild-2,2
1900,Canada,6
1900,Carabinier-15,5
1900,Cercle de l'Aviron Roubaix-4,5
1900,Cicely-1,5
1900,Club Nautique de Lyon-2,2
1900,Crabe II-1,2
1900,Crabe II-4,1
1900,Cuba,7
1900,Denmark,13
1900,Denmark/Sweden,5
1900,Deutscher Schwimm Verband Berlin,5
1900,Devon and Somerset Wanderers,5
1900,Esterel-1,5
1900,Fantlet-7,5
1900,Favorite Hammonia-3,1
1900,Favorite-1,2
1900,Femur-1,5
1900,Formosa,1
1900,Foxhunters Hurlingham,5
1900,France,173
1900,France-1,4
1900,France/Great Britain,2
1900,Frankfurt Club,2
1900,Frimousse,1
1900,"Germania Ruder Club, Hamburg-2",5
1900,Germany,7
1900,Gitana-2,3
1900,Great Britain,58
1900,Great Britain-1,5
1900,Great Britain-2,1
1900,Gwendoline-2,1
1900,Hungary,11
1900,India,4
1900,Italy,19
1900,Laurea-1,1
1900,Lerina,7
1900,Libellule de Paris,1
1900,Ludwigshafener Ruder Verein-1,1
1900,Luxembourg,5
1900,Martha-1,3
1900,Mascotte,2
1900,Mignon-3,1
1900,Minerva Amsterdam,8
1900,Moseley Wanderers,2
1900,Netherlands,2
1900,Nina Claire-2,1
1900,Norway,7
1900,Olle,5
1900,"Osborne Swimming Club, Manchester",5
1900,Pupilles de Neptune de Lille #2-1,1
1900,Pupilles de Neptune de Lille-1,1
1900,Quand-Mme-2,4
1900,Racing Club de France,4
1900,Rowing Club Castillon-3,1
1900,Royal Club Nautique de Gand,2
1900,Sarcelle-3,1
1900,Scamasaxe-2,1
1900,Scamasaxe-3,2
1900,Scotia,10
1900,Societ Nautique de la Marne-1,2
1900,Spain,5
1900,Sweden,1
1900,Switzerland,28
1900,Tritons Lillois-2,2
1900,Turquoise-1,1
1900,USFSA,2
1900,Union des Socits Franais de Sports Athletiques,7
1900,United States,131
1900,United States/France,2
1900,United States/Great Britain,1
1900,Univ. of Brussels,1
1900,Upton Park FC,5
1900,Vesper Boat Club,5
1904,Atalanta Boat Club-1,5
1904,Atalanta Boat Club-2,2
1904,Australia,7
1904,Austria,8
1904,Boston Archers,1
1904,Canada,10
1904,"Central Turnverein, Chicago",1
1904,Century Boat Club-1,5
1904,Chicago Athletic Association,2
1904,Chicago Athletic Association-2,4
1904,Christian Brothers' College-1,2
1904,Cincinnati Archers,7
1904,Cuba,20
1904,France,2
1904,Galt Football Club,5
1904,Germany,36
1904,Great Britain,7
1904,Greece,6
1904,Hungary,13
1904,Independent Rowing Club-3,1
1904,Milwaukee Athletic Club-1,5
1904,Missouri Athletic Club-3,2
1904,Mohawk Indians-2,1
1904,Mound City Rowing Club-2,2
1904,New York Athletic Club,5
1904,New York Athletic Club #1-1,5
1904,New York Athletic Club-1,5
1904,"New York Turnverein, New York",2
1904,Norway,10
1904,"Philadelphia Turngemeinde, Philadelphia",5
1904,Potomac Archers,5
1904,Ravenswood Boat Club-2,2
1904,Seawanhaka Boat Club-1,5
1904,St. Louis Amateur Athletic Association,2
1904,St. Louis Southwest Turnverein #1-2,2
1904,St. Louis Southwest Turnverein #2-3,1
1904,St. Rose-2,1
1904,Switzerland,7
1904,Toronto Argonauts,2
1904,Trans-Mississippi Golf Association-2,2
1904,United States,511
1904,United States Golf Association-3,1
1904,United States-1,5
1904,United States-2,2
1904,United States-3,1
1904,United States-4,1
1904,Vesper Boat Club,5
1904,Western Golf Association-1,5
1904,Western Rowing Club-3,2
1904,Winnipeg Shamrocks-1,5
1906,Australia,3
1906,Austria,24
1906,Barion/Bari-2,2
1906,Belgium,15
1906,Bohemia,2
1906,Bucintoro Venezia,10
1906,Bucintoro Venezia-1,5
1906,Canada,7
1906,Denmark,20
1906,Finland,13
1906,France,104
1906,Germany,36
1906,Great Britain,67
1906,Greece,61
1906,Greece-1,4
1906,Greece-2,1
1906,Hungary,23
1906,Italy,26
1906,"Large boat, Central Naval Prep School ""Poros""-1",5
1906,"Life boat naval ship ""Spetsai""-1",2
1906,"Marinai della nave da guerra ""Varese""",6
1906,Netherlands,4
1906,Norway,7
1906,Omas Helliniki P. S.,2
1906,"Phalainis ton Thorichtou ""Hydra""-2",3
1906,Pistoja/Firenze,1
1906,Royal Club Nautique de Gand,2
1906,Smyrna,2
1906,Socit Nautique de Bayonne-1,1
1906,Socit Nautique de Bayonne-2,1
1906,Socit Nautique de la Basse Seine-1,3
1906,Sweden,27
1906,Switzerland,27
1906,Thessalonki-1,1
1906,United States,76
1908,Amstel Amsterdam,1
